make,name,battery,real_range,efficiency,charge_power,drive,seats,tow_hitch,top_speed,acceleration,value
RENAULT,Zoe ZE50 R110,52.0,315,165,230,FWD,5,False,135,11.4,36840
NISSAN,Leaf,39.0,235,166,230,FWD,5,False,144,7.9,33400
LUCID,Air Grand Touring,112.0,665,168,840,AWD,5,False,270,3.0,129000
HONGQI,E-HS9 99 kWh,90.0,370,243,430,AWD,5,True,200,4.9,42902
CUPRA,Born 170 kW - 77 kWh,77.0,450,171,630,RWD,4,False,160,7.0,46450
ZEEKR,001 Long Range RWD,94.0,525,179,710,RWD,5,True,200,7.2,60970
HYUNDAI,IONIQ 6 Long Range 2WD,74.0,495,149,1290,RWD,5,True,185,7.4,54000
HYUNDAI,IONIQ 5 Long Range 2WD,74.0,390,190,1020,RWD,5,True,185,7.3,47900
PORSCHE,Macan 4 Electric,95.0,485,196,970,AWD,5,True,220,5.2,84100
BMW,i7 xDrive60,101.7,510,199,760,AWD,5,True,240,4.7,139900
BMW,i4 eDrive35,67.0,430,156,580,RWD,5,True,190,6.0,56500
HYUNDAI,IONIQ 5 N,80.0,385,208,950,AWD,5,False,260,3.4,74900
VOLKSWAGEN,ID.7 Pro,77.0,475,162,730,RWD,5,True,180,6.5,56995
MERCEDES-BENZ,EQB 250+,70.5,415,170,490,FWD,7,True,160,8.9,53514
MG,MG4 Electric 51 kWh,50.8,300,169,380,RWD,5,True,160,7.7,34990
AUDI,Q4 e-tron 45,77.0,420,183,630,RWD,5,True,180,6.7,52950
KIA,EV9 99.8 kWh AWD,96.0,435,221,830,AWD,7,True,200,6.0,76490
SMART,#1 Pro+,62.0,335,185,520,RWD,5,True,180,6.7,42490
AUDI,Q8 e-tron 55 quattro,106.0,505,210,640,AWD,5,True,200,5.6,85300
NISSAN,Ariya 87kWh,87.0,450,193,540,FWD,5,True,160,7.6,58990
FORD,Mustang Mach-E ER RWD,91.0,480,190,420,RWD,5,True,180,7.0,58500
BMW,iX xDrive50,105.2,505,208,680,AWD,5,True,200,4.6,100100
VOLVO,EX30 Single Motor,49.0,275,178,420,RWD,5,True,180,5.7,36590
BMW,iX1 eDrive20,64.7,390,166,520,FWD,5,True,170,8.3,47900
HYUNDAI,IONIQ 6 Long Range AWD,74.0,440,168,1150,AWD,5,True,185,5.1,61100
KIA,EV6 GT,74.0,360,206,940,AWD,5,True,260,3.5,72990
OPEL,Astra Electric,50.8,320,159,510,FWD,5,True,170,9.2,41990
MERCEDES-BENZ,EQA 250,66.5,395,168,570,FWD,5,True,160,8.6,50777
PEUGEOT,e-3008 98 kWh Long Range,98.0,510,192,660,FWD,5,True,170,8.9,55000
MERCEDES-BENZ,EQS 450+,108.4,635,171,950,RWD,5,True,210,6.1,109551
POLESTAR,2 Long Range Single Motor,79.0,470,168,700,RWD,5,True,205,6.2,49975
PEUGEOT,e-3008 73 kWh,73.0,385,190,440,FWD,5,True,170,8.7,48650
